Review_ID,Customer_ID,Review_Text,Sentiment_Label,Rating,Service_Type
R00033,CUST104676,Easy to buy a policy online. Loved it!,Positive,4,Policy Purchase
R00034,CUST107387,Had to wait weeks for a response.,Negative,2,Claim
R00035,CUST105380,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00036,CUST108179,Customer service was rude and unhelpful.,Negative,2,Customer Support
R00037,CUST100077,"Service was okay, nothing special.",Neutral,3,Claim
R00038,CUST101535,It was a typical insurance interaction.,Neutral,3,Claim
R00039,CUST107649,Great customer support. Very satisfied.,Positive,5,Claim
R00040,CUST103163,Great customer support. Very satisfied.,Positive,5,Customer Support
R00041,CUST100284,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00042,CUST107267,"Support was fine, not exceptional.",Neutral,3,Claim
R00043,CUST104542,Everything went better than expected.,Positive,4,Claim
R00044,CUST100978,Easy to buy a policy online. Loved it!,Positive,5,Customer Support
R00045,CUST107802,Great customer support. Very satisfied.,Positive,4,Customer Support
R00046,CUST100395,Bought the policy without any issues.,Neutral,3,Policy Purchase
R00047,CUST101519,Customer service was rude and unhelpful.,Negative,1,Claim
R00048,CUST104614,"Service was okay, nothing special.",Neutral,3,Customer Support
R00049,CUST102485,"Service was okay, nothing special.",Neutral,3,Customer Support
R00050,CUST107659,My claim was denied unfairly. Very disappointed.,Negative,1,Claim
R00051,CUST106334,Easy to buy a policy online. Loved it!,Positive,5,Claim
R00052,CUST104289,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00053,CUST100144,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00054,CUST108300,Great customer support. Very satisfied.,Positive,4,Claim
R00055,CUST102805,Easy to buy a policy online. Loved it!,Positive,4,Claim
R00056,CUST102865,The claim process was quick and smooth.,Positive,5,Customer Support
R00057,CUST101924,Easy to buy a policy online. Loved it!,Positive,4,Customer Support
R00058,CUST100540,Bought the policy without any issues.,Neutral,3,Policy Purchase
R00059,CUST102734,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00060,CUST102511,Bought the policy without any issues.,Neutral,3,Customer Support
R00061,CUST107385,Everything went better than expected.,Positive,4,Policy Purchase
R00062,CUST107278,The claim process was quick and smooth.,Positive,4,Policy Purchase
R00063,CUST107809,"Support was fine, not exceptional.",Neutral,3,Claim
R00064,CUST105265,Customer service was rude and unhelpful.,Negative,2,Claim
R00065,CUST108437,It was a typical insurance interaction.,Neutral,3,Claim
R00066,CUST102433,My claim was denied unfairly. Very disappointed.,Negative,1,Policy Purchase
R00067,CUST106894,My claim was denied unfairly. Very disappointed.,Negative,1,Policy Purchase
R00068,CUST106704,It was a typical insurance interaction.,Neutral,3,Claim
R00069,CUST106053,Easy to buy a policy online. Loved it!,Positive,4,Claim
R00070,CUST104183,"Support was fine, not exceptional.",Neutral,3,Claim
R00071,CUST100251,Very bad experience with the support team.,Negative,1,Customer Support
R00072,CUST109330,"Support was fine, not exceptional.",Neutral,3,Claim
R00073,CUST107505,"Service was okay, nothing special.",Neutral,3,Customer Support
R00074,CUST101696,"Support was fine, not exceptional.",Neutral,3,Claim
R00075,CUST109895,"Support was fine, not exceptional.",Neutral,3,Claim
R00076,CUST102921,It was a typical insurance interaction.,Neutral,3,Claim
R00077,CUST103284,The policy terms were not clearly explained.,Negative,1,Claim
R00078,CUST107820,Customer service was rude and unhelpful.,Negative,2,Claim
R00079,CUST102893,Bought the policy without any issues.,Neutral,3,Customer Support
R00080,CUST102973,Very bad experience with the support team.,Negative,1,Policy Purchase
R00081,CUST102070,Customer service was rude and unhelpful.,Negative,2,Policy Purchase
R00082,CUST103157,"Support was fine, not exceptional.",Neutral,3,Claim
R00083,CUST106101,Fast and helpful service!,Positive,5,Claim
R00084,CUST108846,Very bad experience with the support team.,Negative,1,Customer Support
R00085,CUST104302,Had to wait weeks for a response.,Negative,2,Policy Purchase
R00086,CUST100934,Bought the policy without any issues.,Neutral,3,Claim
R00087,CUST102134,My claim was denied unfairly. Very disappointed.,Negative,1,Policy Purchase
R00088,CUST109076,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00089,CUST106270,Had to wait weeks for a response.,Negative,1,Customer Support
R00090,CUST109121,The claim process was quick and smooth.,Positive,5,Claim
R00091,CUST105579,My claim was denied unfairly. Very disappointed.,Negative,2,Customer Support
R00092,CUST108218,"Service was okay, nothing special.",Neutral,3,Claim
R00093,CUST108311,Customer service was rude and unhelpful.,Negative,1,Claim
R00094,CUST107868,Great customer support. Very satisfied.,Positive,5,Customer Support
R00095,CUST109071,Great customer support. Very satisfied.,Positive,5,Customer Support
R00096,CUST108302,Fast and helpful service!,Positive,4,Policy Purchase
R00097,CUST107139,Fast and helpful service!,Positive,5,Claim
R00098,CUST101327,It was a typical insurance interaction.,Neutral,3,Customer Support
R00099,CUST109781,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00100,CUST109172,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00101,CUST100252,Great customer support. Very satisfied.,Positive,5,Policy Purchase
R00102,CUST102336,Very bad experience with the support team.,Negative,1,Policy Purchase
R00103,CUST109697,Very bad experience with the support team.,Negative,1,Policy Purchase
R00104,CUST107472,Everything went better than expected.,Positive,4,Customer Support
R00105,CUST105328,The policy terms were not clearly explained.,Negative,1,Policy Purchase
R00106,CUST109334,Everything went better than expected.,Positive,4,Policy Purchase
R00107,CUST109709,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00108,CUST108532,Customer service was rude and unhelpful.,Negative,1,Claim
R00109,CUST108200,Very bad experience with the support team.,Negative,2,Claim
R00110,CUST102414,Everything went better than expected.,Positive,4,Policy Purchase
R00111,CUST109123,Had to wait weeks for a response.,Negative,1,Claim
R00112,CUST109707,Easy to buy a policy online. Loved it!,Positive,5,Customer Support
R00113,CUST105477,Customer service was rude and unhelpful.,Negative,2,Policy Purchase
R00114,CUST105442,Easy to buy a policy online. Loved it!,Positive,4,Claim
R00115,CUST108573,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00116,CUST104973,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00117,CUST109112,Customer service was rude and unhelpful.,Negative,1,Claim
R00118,CUST108960,My claim was denied unfairly. Very disappointed.,Negative,2,Customer Support
R00119,CUST108381,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00120,CUST101745,"Average experience, neither good nor bad.",Neutral,3,Claim
R00121,CUST109407,"Support was fine, not exceptional.",Neutral,3,Claim
R00122,CUST105524,Bought the policy without any issues.,Neutral,3,Policy Purchase
R00123,CUST107273,The claim process was quick and smooth.,Positive,4,Policy Purchase
R00124,CUST109700,"Service was okay, nothing special.",Neutral,3,Claim
R00125,CUST107036,Very bad experience with the support team.,Negative,1,Customer Support
R00126,CUST104774,It was a typical insurance interaction.,Neutral,3,Customer Support
R00127,CUST102978,The policy terms were not clearly explained.,Negative,1,Policy Purchase
R00128,CUST105391,My claim was denied unfairly. Very disappointed.,Negative,2,Policy Purchase
R00129,CUST104911,Customer service was rude and unhelpful.,Negative,2,Policy Purchase
R00130,CUST103106,It was a typical insurance interaction.,Neutral,3,Claim
R00131,CUST108266,Easy to buy a policy online. Loved it!,Positive,4,Claim
R00132,CUST109446,"Service was okay, nothing special.",Neutral,3,Customer Support
R00133,CUST104101,Customer service was rude and unhelpful.,Negative,1,Customer Support
R00134,CUST107875,Had to wait weeks for a response.,Negative,1,Customer Support
R00135,CUST109149,Very bad experience with the support team.,Negative,2,Policy Purchase
R00136,CUST101235,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00137,CUST105648,The policy terms were not clearly explained.,Negative,2,Claim
R00138,CUST109145,Great customer support. Very satisfied.,Positive,4,Policy Purchase
R00139,CUST106495,The claim process was quick and smooth.,Positive,5,Customer Support
R00140,CUST106403,My claim was denied unfairly. Very disappointed.,Negative,2,Policy Purchase
R00141,CUST106419,It was a typical insurance interaction.,Neutral,3,Customer Support
R00142,CUST107069,Fast and helpful service!,Positive,4,Claim
R00143,CUST100586,Easy to buy a policy online. Loved it!,Positive,5,Customer Support
R00144,CUST108453,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00145,CUST106510,Bought the policy without any issues.,Neutral,3,Policy Purchase
R00146,CUST100277,The claim process was quick and smooth.,Positive,5,Claim
R00147,CUST103285,"Service was okay, nothing special.",Neutral,3,Customer Support
R00148,CUST105553,Had to wait weeks for a response.,Negative,1,Claim
R00149,CUST106223,Had to wait weeks for a response.,Negative,1,Claim
R00150,CUST105365,Great customer support. Very satisfied.,Positive,4,Policy Purchase
R00151,CUST104512,Easy to buy a policy online. Loved it!,Positive,4,Policy Purchase
R00152,CUST107558,"Service was okay, nothing special.",Neutral,3,Customer Support
R00153,CUST103863,My claim was denied unfairly. Very disappointed.,Negative,1,Claim
R00154,CUST106229,Bought the policy without any issues.,Neutral,3,Customer Support
R00155,CUST105513,Fast and helpful service!,Positive,5,Customer Support
R00156,CUST102426,The claim process was quick and smooth.,Positive,4,Customer Support
R00157,CUST106590,Customer service was rude and unhelpful.,Negative,1,Customer Support
R00158,CUST107631,It was a typical insurance interaction.,Neutral,3,Claim
R00159,CUST100128,Fast and helpful service!,Positive,4,Customer Support
R00160,CUST100520,Great customer support. Very satisfied.,Positive,4,Claim
R00161,CUST108597,Very bad experience with the support team.,Negative,2,Policy Purchase
R00162,CUST108407,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00163,CUST100880,Fast and helpful service!,Positive,4,Policy Purchase
R00164,CUST109715,The claim process was quick and smooth.,Positive,4,Claim
R00165,CUST105727,Great customer support. Very satisfied.,Positive,4,Claim
R00166,CUST102351,The policy terms were not clearly explained.,Negative,1,Policy Purchase
R00167,CUST104620,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00168,CUST104607,Easy to buy a policy online. Loved it!,Positive,4,Policy Purchase
R00169,CUST109979,Everything went better than expected.,Positive,5,Claim
R00170,CUST103877,Very bad experience with the support team.,Negative,2,Customer Support
R00171,CUST105871,My claim was denied unfairly. Very disappointed.,Negative,1,Claim
R00172,CUST109620,Customer service was rude and unhelpful.,Negative,2,Claim
R00173,CUST107740,The policy terms were not clearly explained.,Negative,1,Policy Purchase
R00174,CUST100697,Easy to buy a policy online. Loved it!,Positive,5,Claim
R00175,CUST108141,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00176,CUST109486,Everything went better than expected.,Positive,4,Claim
R00177,CUST103095,Great customer support. Very satisfied.,Positive,4,Customer Support
R00178,CUST104542,"Average experience, neither good nor bad.",Neutral,3,Claim
R00179,CUST105516,Great customer support. Very satisfied.,Positive,5,Customer Support
R00180,CUST105979,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00181,CUST108158,"Service was okay, nothing special.",Neutral,3,Customer Support
R00182,CUST103520,Great customer support. Very satisfied.,Positive,5,Customer Support
R00183,CUST103003,"Support was fine, not exceptional.",Neutral,3,Claim
R00184,CUST101063,The policy terms were not clearly explained.,Negative,2,Customer Support
R00185,CUST102886,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00186,CUST109840,Everything went better than expected.,Positive,5,Policy Purchase
R00187,CUST104374,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00188,CUST101646,Very bad experience with the support team.,Negative,1,Customer Support
R00189,CUST107816,Everything went better than expected.,Positive,4,Customer Support
R00190,CUST104710,"Average experience, neither good nor bad.",Neutral,3,Claim
R00191,CUST107776,"Support was fine, not exceptional.",Neutral,3,Customer Support
R00192,CUST100562,Fast and helpful service!,Positive,5,Policy Purchase
R00193,CUST102646,Fast and helpful service!,Positive,4,Claim
R00194,CUST102928,Everything went better than expected.,Positive,5,Claim
R00195,CUST109086,Great customer support. Very satisfied.,Positive,5,Customer Support
R00196,CUST107326,Very bad experience with the support team.,Negative,2,Claim
R00197,CUST107844,Had to wait weeks for a response.,Negative,2,Policy Purchase
R00198,CUST102457,Very bad experience with the support team.,Negative,1,Policy Purchase
R00199,CUST109155,Great customer support. Very satisfied.,Positive,5,Policy Purchase
R00200,CUST105167,The policy terms were not clearly explained.,Negative,1,Claim
R00201,CUST106922,"Average experience, neither good nor bad.",Neutral,3,Claim
R00202,CUST104310,The policy terms were not clearly explained.,Negative,1,Policy Purchase
R00203,CUST105187,Everything went better than expected.,Positive,5,Policy Purchase
R00204,CUST103587,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00205,CUST107116,My claim was denied unfairly. Very disappointed.,Negative,2,Customer Support
R00206,CUST103090,Bought the policy without any issues.,Neutral,3,Policy Purchase
R00207,CUST104658,Bought the policy without any issues.,Neutral,3,Customer Support
R00208,CUST107602,Bought the policy without any issues.,Neutral,3,Claim
R00209,CUST102818,The claim process was quick and smooth.,Positive,4,Policy Purchase
R00210,CUST104379,Great customer support. Very satisfied.,Positive,5,Customer Support
R00211,CUST101237,"Average experience, neither good nor bad.",Neutral,3,Claim
R00212,CUST106977,The claim process was quick and smooth.,Positive,4,Customer Support
R00213,CUST106556,Very bad experience with the support team.,Negative,1,Customer Support
R00214,CUST102832,The policy terms were not clearly explained.,Negative,2,Customer Support
R00215,CUST108620,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00216,CUST101760,Very bad experience with the support team.,Negative,2,Claim
R00217,CUST100982,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00218,CUST102914,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00219,CUST101013,Had to wait weeks for a response.,Negative,1,Customer Support
R00220,CUST101363,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00221,CUST103159,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00222,CUST102800,It was a typical insurance interaction.,Neutral,3,Claim
R00223,CUST101342,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00224,CUST109975,Bought the policy without any issues.,Neutral,3,Claim
R00225,CUST101581,Great customer support. Very satisfied.,Positive,5,Policy Purchase
R00226,CUST109329,The claim process was quick and smooth.,Positive,4,Customer Support
R00227,CUST106997,The claim process was quick and smooth.,Positive,4,Claim
R00228,CUST101257,My claim was denied unfairly. Very disappointed.,Negative,2,Claim
R00229,CUST100537,Everything went better than expected.,Positive,4,Policy Purchase
R00230,CUST109120,Had to wait weeks for a response.,Negative,2,Customer Support
R00231,CUST102459,Easy to buy a policy online. Loved it!,Positive,4,Customer Support
R00232,CUST105467,My claim was denied unfairly. Very disappointed.,Negative,2,Customer Support
R00233,CUST101072,Customer service was rude and unhelpful.,Negative,2,Customer Support
R00234,CUST104522,Easy to buy a policy online. Loved it!,Positive,4,Claim
R00235,CUST101855,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00236,CUST109386,It was a typical insurance interaction.,Neutral,3,Customer Support
R00237,CUST102228,Fast and helpful service!,Positive,5,Claim
R00238,CUST107692,Great customer support. Very satisfied.,Positive,5,Customer Support
R00239,CUST104993,"Support was fine, not exceptional.",Neutral,3,Claim
R00240,CUST107786,Great customer support. Very satisfied.,Positive,4,Customer Support
R00241,CUST101632,Had to wait weeks for a response.,Negative,2,Policy Purchase
R00242,CUST104970,Very bad experience with the support team.,Negative,1,Claim
R00243,CUST108248,Everything went better than expected.,Positive,5,Policy Purchase
R00244,CUST105848,The policy terms were not clearly explained.,Negative,1,Customer Support
R00245,CUST100329,Easy to buy a policy online. Loved it!,Positive,4,Policy Purchase
R00246,CUST100596,The claim process was quick and smooth.,Positive,5,Claim
R00247,CUST105343,My claim was denied unfairly. Very disappointed.,Negative,2,Claim
R00248,CUST104873,Had to wait weeks for a response.,Negative,1,Policy Purchase
R00249,CUST103599,Easy to buy a policy online. Loved it!,Positive,5,Policy Purchase
R00250,CUST104946,Everything went better than expected.,Positive,5,Customer Support
R00251,CUST103147,"Support was fine, not exceptional.",Neutral,3,Claim
R00252,CUST105167,Fast and helpful service!,Positive,4,Customer Support
R00253,CUST104114,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00254,CUST105789,Great customer support. Very satisfied.,Positive,5,Customer Support
R00255,CUST102922,It was a typical insurance interaction.,Neutral,3,Customer Support
R00256,CUST105466,It was a typical insurance interaction.,Neutral,3,Claim
R00257,CUST106519,The policy terms were not clearly explained.,Negative,1,Claim
R00258,CUST102328,Easy to buy a policy online. Loved it!,Positive,4,Policy Purchase
R00259,CUST108457,Everything went better than expected.,Positive,5,Claim
R00260,CUST100244,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00261,CUST100696,"Service was okay, nothing special.",Neutral,3,Claim
R00262,CUST105289,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00263,CUST105823,The claim process was quick and smooth.,Positive,5,Claim
R00264,CUST106147,Very bad experience with the support team.,Negative,1,Policy Purchase
R00265,CUST100154,Customer service was rude and unhelpful.,Negative,2,Customer Support
R00266,CUST109449,Easy to buy a policy online. Loved it!,Positive,4,Claim
R00267,CUST109960,Easy to buy a policy online. Loved it!,Positive,5,Customer Support
R00268,CUST106845,Bought the policy without any issues.,Neutral,3,Customer Support
R00269,CUST102165,The policy terms were not clearly explained.,Negative,2,Policy Purchase
R00270,CUST101005,Easy to buy a policy online. Loved it!,Positive,4,Customer Support
R00271,CUST106777,Great customer support. Very satisfied.,Positive,4,Claim
R00272,CUST102757,Great customer support. Very satisfied.,Positive,5,Customer Support
R00273,CUST108538,The policy terms were not clearly explained.,Negative,2,Customer Support
R00274,CUST108699,It was a typical insurance interaction.,Neutral,3,Claim
R00275,CUST101582,"Support was fine, not exceptional.",Neutral,3,Customer Support
R00276,CUST103598,It was a typical insurance interaction.,Neutral,3,Customer Support
R00277,CUST103639,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00278,CUST100694,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00279,CUST106358,Easy to buy a policy online. Loved it!,Positive,5,Claim
R00280,CUST105522,Very bad experience with the support team.,Negative,2,Customer Support
R00281,CUST108795,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00282,CUST108298,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00283,CUST102228,My claim was denied unfairly. Very disappointed.,Negative,1,Policy Purchase
R00284,CUST105154,The claim process was quick and smooth.,Positive,5,Customer Support
R00285,CUST100718,"Service was okay, nothing special.",Neutral,3,Customer Support
R00286,CUST104170,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00287,CUST106231,Everything went better than expected.,Positive,5,Policy Purchase
R00288,CUST105312,Everything went better than expected.,Positive,5,Claim
R00289,CUST105835,Had to wait weeks for a response.,Negative,2,Policy Purchase
R00290,CUST108680,Fast and helpful service!,Positive,4,Claim
R00291,CUST109300,Fast and helpful service!,Positive,4,Claim
R00292,CUST102393,Customer service was rude and unhelpful.,Negative,2,Claim
R00293,CUST102006,Bought the policy without any issues.,Neutral,3,Policy Purchase
R00294,CUST107487,Very bad experience with the support team.,Negative,1,Customer Support
R00295,CUST107165,Had to wait weeks for a response.,Negative,2,Claim
R00296,CUST102790,Great customer support. Very satisfied.,Positive,5,Customer Support
R00297,CUST105963,Easy to buy a policy online. Loved it!,Positive,5,Policy Purchase
R00298,CUST102827,The policy terms were not clearly explained.,Negative,1,Customer Support
R00299,CUST103350,Great customer support. Very satisfied.,Positive,4,Policy Purchase
R00300,CUST107131,Had to wait weeks for a response.,Negative,2,Claim
R00301,CUST100309,The policy terms were not clearly explained.,Negative,2,Policy Purchase
R00302,CUST108644,Very bad experience with the support team.,Negative,2,Customer Support
R00303,CUST104748,My claim was denied unfairly. Very disappointed.,Negative,1,Customer Support
R00304,CUST103739,The policy terms were not clearly explained.,Negative,1,Claim
R00305,CUST107400,Fast and helpful service!,Positive,4,Policy Purchase
R00306,CUST101648,Very bad experience with the support team.,Negative,1,Customer Support
R00307,CUST107955,Customer service was rude and unhelpful.,Negative,2,Claim
R00308,CUST107976,Great customer support. Very satisfied.,Positive,5,Customer Support
R00309,CUST108369,The policy terms were not clearly explained.,Negative,2,Customer Support
R00310,CUST100870,The policy terms were not clearly explained.,Negative,1,Claim
R00311,CUST102820,Everything went better than expected.,Positive,5,Claim
R00312,CUST106553,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00313,CUST108589,Bought the policy without any issues.,Neutral,3,Customer Support
R00314,CUST102430,"Service was okay, nothing special.",Neutral,3,Customer Support
R00315,CUST103314,Everything went better than expected.,Positive,5,Policy Purchase
R00316,CUST107602,Fast and helpful service!,Positive,5,Policy Purchase
R00317,CUST100993,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00318,CUST109139,My claim was denied unfairly. Very disappointed.,Negative,1,Customer Support
R00319,CUST106643,Had to wait weeks for a response.,Negative,1,Customer Support
R00320,CUST108970,Everything went better than expected.,Positive,5,Policy Purchase
R00321,CUST100108,Fast and helpful service!,Positive,4,Customer Support
R00322,CUST104006,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00323,CUST108212,The claim process was quick and smooth.,Positive,5,Claim
R00324,CUST101426,Easy to buy a policy online. Loved it!,Positive,4,Policy Purchase
R00325,CUST101786,Very bad experience with the support team.,Negative,2,Policy Purchase
R00326,CUST107438,It was a typical insurance interaction.,Neutral,3,Claim
R00327,CUST101145,Had to wait weeks for a response.,Negative,1,Claim
R00328,CUST105737,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00329,CUST102384,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00330,CUST100398,"Average experience, neither good nor bad.",Neutral,3,Customer Support
R00331,CUST108280,"Service was okay, nothing special.",Neutral,3,Claim
R00332,CUST107437,Customer service was rude and unhelpful.,Negative,1,Customer Support
R00333,CUST100261,Customer service was rude and unhelpful.,Negative,2,Claim
R00334,CUST107865,My claim was denied unfairly. Very disappointed.,Negative,2,Customer Support
R00335,CUST106335,Had to wait weeks for a response.,Negative,2,Claim
R00336,CUST106291,Bought the policy without any issues.,Neutral,3,Claim
R00337,CUST104038,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00338,CUST105052,It was a typical insurance interaction.,Neutral,3,Claim
R00339,CUST107176,Easy to buy a policy online. Loved it!,Positive,4,Policy Purchase
R00340,CUST103642,Great customer support. Very satisfied.,Positive,4,Claim
R00341,CUST101850,The claim process was quick and smooth.,Positive,4,Customer Support
R00342,CUST103169,It was a typical insurance interaction.,Neutral,3,Claim
R00343,CUST109164,"Support was fine, not exceptional.",Neutral,3,Claim
R00344,CUST106810,"Average experience, neither good nor bad.",Neutral,3,Policy Purchase
R00345,CUST102211,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00346,CUST103738,My claim was denied unfairly. Very disappointed.,Negative,1,Claim
R00347,CUST109599,The claim process was quick and smooth.,Positive,4,Customer Support
R00348,CUST105982,Bought the policy without any issues.,Neutral,3,Policy Purchase
R00349,CUST104500,Easy to buy a policy online. Loved it!,Positive,5,Policy Purchase
R00350,CUST105422,The claim process was quick and smooth.,Positive,5,Policy Purchase
R00351,CUST106907,Very bad experience with the support team.,Negative,2,Policy Purchase
R00352,CUST101885,"Average experience, neither good nor bad.",Neutral,3,Claim
R00353,CUST109402,The claim process was quick and smooth.,Positive,4,Claim
R00354,CUST104517,Customer service was rude and unhelpful.,Negative,2,Policy Purchase
R00355,CUST109318,The claim process was quick and smooth.,Positive,4,Policy Purchase
R00356,CUST103386,Easy to buy a policy online. Loved it!,Positive,4,Customer Support
R00357,CUST109676,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00358,CUST106388,My claim was denied unfairly. Very disappointed.,Negative,2,Policy Purchase
R00359,CUST108939,Customer service was rude and unhelpful.,Negative,1,Policy Purchase
R00360,CUST107866,Fast and helpful service!,Positive,4,Claim
R00361,CUST102259,Bought the policy without any issues.,Neutral,3,Claim
R00362,CUST107389,"Support was fine, not exceptional.",Neutral,3,Claim
R00363,CUST109400,It was a typical insurance interaction.,Neutral,3,Customer Support
R00364,CUST109753,Everything went better than expected.,Positive,5,Customer Support
R00365,CUST104253,"Support was fine, not exceptional.",Neutral,3,Policy Purchase
R00366,CUST105282,My claim was denied unfairly. Very disappointed.,Negative,1,Customer Support
R00367,CUST103021,"Service was okay, nothing special.",Neutral,3,Policy Purchase
R00368,CUST106899,My claim was denied unfairly. Very disappointed.,Negative,2,Policy Purchase
R00369,CUST108573,My claim was denied unfairly. Very disappointed.,Negative,2,Policy Purchase
R00370,CUST106766,Very bad experience with the support team.,Negative,1,Policy Purchase
R00371,CUST107236,Easy to buy a policy online. Loved it!,Positive,5,Policy Purchase
R00372,CUST105512,Customer service was rude and unhelpful.,Negative,2,Policy Purchase
R00373,CUST106266,Very bad experience with the support team.,Negative,1,Customer Support
R00374,CUST108652,"Support was fine, not exceptional.",Neutral,3,Policy Purchase
R00375,CUST106250,The claim process was quick and smooth.,Positive,5,Claim
R00376,CUST106448,Very bad experience with the support team.,Negative,2,Policy Purchase
R00377,CUST106703,The policy terms were not clearly explained.,Negative,1,Policy Purchase
R00378,CUST109815,Easy to buy a policy online. Loved it!,Positive,5,Customer Support
R00379,CUST106843,The policy terms were not clearly explained.,Negative,2,Customer Support
R00380,CUST101285,Customer service was rude and unhelpful.,Negative,2,Claim
R00381,CUST104579,Very bad experience with the support team.,Negative,1,Claim
R00382,CUST102206,"Support was fine, not exceptional.",Neutral,3,Claim
R00383,CUST109174,It was a typical insurance interaction.,Neutral,3,Policy Purchase
R00384,CUST105166,"Service was okay, nothing special.",Neutral,3,Claim
R00385,CUST101092,Great customer support. Very satisfied.,Positive,5,Policy Purchase
