Customer_ID,Policy_ID,Customer_Age,Gender,Policy_Type,Monthly_Income,Vehicle_or_Property_Age,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score,Location,Policy_Upgrade
CUST100047,POL100047,36,Female,Life,69680.64,7,1,0,1021.24,1745.07,Low,Los Angeles,2
CUST100048,POL100048,42,Male,Auto,27437.01,4,3,1,1409.14,2403.92,High,Chicago,2
CUST100049,POL100049,20,Male,Life,28988.37,4,1,0,1048.88,1465.74,Low,Houston,1
CUST100050,POL100050,64,Male,Property,55209.6,4,0,0,1007.46,1198.95,Low,Los Angeles,0
CUST100051,POL100051,27,Female,Property,60862.11,0,1,0,1074.54,2914.86,Medium,Los Angeles,2
CUST100052,POL100052,38,Female,Auto,56685.46,6,0,0,1057.6,1687.38,Low,Chicago,0
CUST100053,POL100053,36,Male,Property,84674.52,4,0,0,1047.35,1892.44,Low,Dallas,1
CUST100054,POL100054,38,Male,Health,45666.89,1,0,0,1029.37,536.29,Low,New York,0
CUST100055,POL100055,32,Male,Property,85307.12,6,2,0,1308.61,2122.17,Low,Los Angeles,0
CUST100056,POL100056,29,Female,Life,39258.0,6,2,0,1330.45,980.77,Low,Houston,0
CUST100057,POL100057,32,Female,Auto,51114.09,3,0,1,1018.46,1489.59,Medium,Houston,2
CUST100058,POL100058,37,Male,Property,46386.55,3,0,0,1056.97,3289.18,Medium,Los Angeles,0
CUST100059,POL100059,59,Female,Health,50060.64,6,1,0,1103.6,2202.2,Low,Dallas,0
CUST100060,POL100060,26,Male,Property,64016.14,10,0,0,931.4,817.86,Low,Houston,0
CUST100061,POL100061,33,Male,Auto,76594.94,6,1,0,1148.72,2929.68,Medium,Houston,2
CUST100062,POL100062,44,Male,Health,50940.22,5,2,0,1212.49,1198.04,Low,Houston,1
CUST100063,POL100063,36,Male,Auto,64346.62,9,2,1,1093.88,1720.89,Medium,Dallas,0
CUST100064,POL100064,40,Male,Property,85146.56,5,1,1,1107.73,2113.83,Medium,New York,0
CUST100065,POL100065,53,Male,Life,67640.67,7,3,0,1381.57,772.08,Low,Chicago,1
CUST100066,POL100066,45,Female,Auto,65004.93,7,0,1,996.43,868.29,Medium,Dallas,0
CUST100067,POL100067,34,Male,Property,71354.83,3,3,0,1247.31,3367.81,High,Houston,1
CUST100068,POL100068,29,Female,Auto,25129.21,5,1,1,1261.81,3889.53,High,Chicago,2
CUST100069,POL100069,47,Female,Life,48142.88,5,2,0,1162.96,3423.14,Low,New York,1
CUST100070,POL100070,40,Male,Property,76412.87,1,0,0,1098.01,2870.16,Medium,Houston,2
CUST100071,POL100071,18,Male,Life,40650.59,2,2,0,1194.14,2056.44,Low,Los Angeles,0
CUST100072,POL100072,37,Female,Health,70443.1,8,0,0,1075.87,976.17,Low,Houston,2
CUST100073,POL100073,38,Male,Health,98600.4,5,0,0,1029.09,1034.79,Low,Chicago,0
CUST100074,POL100074,39,Female,Life,51848.63,3,2,0,1225.99,1732.91,Low,Dallas,0
CUST100075,POL100075,42,Male,Auto,38887.32,3,1,0,1148.2,2370.29,Low,Chicago,0
CUST100076,POL100076,31,Other,Health,49075.27,5,0,0,1008.88,1091.9,Low,Dallas,1
CUST100077,POL100077,35,Female,Auto,63519.78,5,1,0,1150.64,603.24,Low,New York,0
CUST100078,POL100078,43,Male,Auto,41233.3,6,1,0,1111.13,1484.95,Low,Houston,1
CUST100079,POL100079,47,Male,Health,78700.42,0,1,1,1092.89,2977.55,Medium,New York,0
CUST100080,POL100080,41,Male,Life,62254.53,4,0,0,1017.59,2054.31,Low,Los Angeles,1
CUST100081,POL100081,34,Female,Life,60276.51,5,0,0,1026.96,1157.55,Low,Dallas,1
CUST100082,POL100082,52,Male,Auto,67088.96,5,2,1,1286.24,2027.88,Medium,New York,0
CUST100083,POL100083,18,Female,Life,67764.89,3,0,0,978.15,1110.99,Low,Los Angeles,0
CUST100084,POL100084,28,Male,Auto,75804.63,3,3,0,1486.95,1668.95,Medium,Houston,0
CUST100085,POL100085,41,Other,Property,34656.64,6,1,0,1118.54,2704.24,Medium,Dallas,0
CUST100086,POL100086,48,Male,Life,51563.0,6,0,0,1073.79,1406.58,Low,Dallas,1
CUST100087,POL100087,37,Female,Property,65702.97,6,4,0,1448.97,1392.92,Medium,Los Angeles,1
CUST100088,POL100088,27,Female,Health,75797.29,4,2,1,1254.85,691.28,Medium,Houston,0
CUST100089,POL100089,46,Male,Health,63332.01,4,1,0,1146.17,2564.94,Low,Chicago,0
CUST100090,POL100090,50,Female,Life,64245.48,2,0,1,1055.01,586.0,Medium,Dallas,2
CUST100091,POL100091,52,Male,Life,78347.56,3,1,0,1100.92,1834.44,Low,Houston,1
CUST100092,POL100092,34,Male,Health,55773.23,2,0,0,970.29,530.47,Low,Houston,1
CUST100093,POL100093,25,Male,Health,74764.84,4,2,0,1222.59,2529.62,Low,Houston,1
CUST100094,POL100094,32,Male,Property,52035.05,3,1,0,1085.0,3396.43,Medium,Houston,1
CUST100095,POL100095,33,Female,Auto,65154.28,4,0,0,1136.31,2319.96,Low,Houston,0
CUST100096,POL100096,35,Male,Health,68757.01,6,1,0,1178.05,1761.2,Low,New York,0
CUST100097,POL100097,28,Female,Health,52235.83,5,2,0,1184.29,2735.28,Low,New York,1
CUST100098,POL100098,47,Male,Health,54610.62,6,5,0,1607.96,3797.82,Medium,Dallas,0
CUST100099,POL100099,41,Male,Property,49656.9,5,3,0,1333.12,2778.7,High,Dallas,0
CUST100100,POL100100,47,Female,Health,92448.82,4,3,0,1338.0,3702.11,Medium,Houston,0
CUST100101,POL100101,42,Male,Property,54555.64,5,1,0,1089.67,2659.71,Medium,Los Angeles,0
CUST100102,POL100102,58,Female,Health,59013.75,3,0,1,1125.79,1654.0,Medium,Dallas,1
CUST100103,POL100103,37,Male,Health,44681.51,6,0,0,953.3,2862.44,Low,New York,0
CUST100104,POL100104,47,Male,Property,58512.36,8,1,1,1063.39,1600.36,Medium,Dallas,0
CUST100105,POL100105,44,Male,Property,61113.09,4,2,1,1238.48,2988.96,High,New York,1
CUST100106,POL100106,45,Other,Life,69112.71,3,0,1,1039.03,2111.79,Medium,Chicago,0
CUST100107,POL100107,57,Female,Auto,65624.67,3,1,0,1135.73,1286.28,Low,Los Angeles,1
CUST100108,POL100108,34,Female,Life,31656.89,4,1,0,981.63,2475.83,Low,Dallas,0
CUST100109,POL100109,39,Female,Property,96030.39,4,2,0,1166.07,1608.2,Low,Los Angeles,0
CUST100110,POL100110,37,Male,Health,49021.84,5,2,0,1153.76,939.96,Low,Chicago,0
CUST100111,POL100111,51,Male,Auto,87179.7,5,3,1,1412.81,2326.77,High,Chicago,1
CUST100112,POL100112,60,Female,Auto,62968.66,3,1,1,1102.66,1518.72,Medium,Dallas,1
CUST100113,POL100113,33,Male,Property,104475.16,4,1,1,1118.62,1124.05,Medium,Houston,1
CUST100114,POL100114,36,Male,Auto,34971.24,5,2,0,1257.41,3441.86,Medium,Dallas,1
CUST100115,POL100115,64,Male,Auto,76180.21,4,2,0,1322.95,3299.11,Medium,New York,0
CUST100116,POL100116,45,Male,Property,63910.11,3,1,1,1084.81,1928.5,Medium,Houston,0
CUST100117,POL100117,35,Male,Life,26483.6,5,1,0,1045.16,2691.22,Medium,Dallas,0
CUST100118,POL100118,39,Female,Property,67155.61,5,1,0,1047.68,1263.46,Low,Los Angeles,0
CUST100119,POL100119,50,Female,Property,72706.19,7,3,1,1307.84,1520.81,High,Houston,0
CUST100120,POL100120,48,Male,Property,60779.19,6,1,0,1119.46,1019.56,Low,Los Angeles,0
CUST100121,POL100121,44,Male,Property,28486.22,10,1,0,1184.17,1127.8,Medium,Houston,1
CUST100122,POL100122,32,Female,Life,88710.47,4,4,0,1431.39,3739.19,Medium,Los Angeles,2
CUST100123,POL100123,40,Female,Property,76582.89,7,0,0,1103.31,797.2,Low,Houston,1
CUST100124,POL100124,39,Other,Life,64931.44,5,3,0,1347.34,3009.65,Medium,Houston,1
CUST100125,POL100125,48,Male,Auto,79346.35,4,0,0,958.57,1969.55,Low,Los Angeles,0
CUST100126,POL100126,21,Female,Property,55446.96,2,0,0,980.14,2054.23,Low,Dallas,0
CUST100127,POL100127,67,Male,Life,60887.13,7,1,0,1054.75,1887.97,Low,Houston,1
CUST100128,POL100128,56,Male,Property,68458.64,6,1,0,1176.13,633.46,Low,Chicago,0
CUST100129,POL100129,43,Female,Property,57166.55,6,0,0,977.04,1178.13,Low,New York,1
CUST100130,POL100130,18,Female,Life,65952.58,8,0,0,1048.0,866.54,Low,Houston,0
CUST100131,POL100131,28,Male,Property,87699.4,5,0,0,1084.85,2027.06,Low,New York,0
CUST100132,POL100132,45,Female,Property,62088.23,7,1,0,1144.05,2452.81,Low,Houston,2
CUST100133,POL100133,36,Female,Property,41342.05,3,1,1,1219.71,863.85,Medium,Los Angeles,1
CUST100134,POL100134,66,Male,Auto,41432.69,6,1,0,1091.37,647.54,Low,Chicago,1
CUST100135,POL100135,59,Female,Auto,51637.62,2,1,1,1152.91,1674.55,Medium,New York,0
CUST100136,POL100136,51,Male,Health,76560.74,5,1,0,1095.44,739.25,Low,Dallas,0
CUST100137,POL100137,31,Female,Life,60511.25,3,0,1,1027.37,2558.29,Medium,New York,1
CUST100138,POL100138,18,Female,Life,65610.85,7,3,0,1229.83,822.16,Low,Houston,0
CUST100139,POL100139,40,Male,Health,45139.61,6,1,0,1078.81,2476.86,Low,Los Angeles,1
CUST100140,POL100140,26,Male,Auto,55253.87,7,2,0,1221.6,1026.04,Low,Houston,1
CUST100141,POL100141,46,Other,Property,48210.16,2,0,1,929.08,1421.83,Medium,Dallas,0
CUST100142,POL100142,44,Male,Health,97394.99,4,2,1,1273.23,984.93,Medium,Dallas,1
CUST100143,POL100143,53,Female,Property,64010.88,5,1,0,1059.59,2328.86,Low,Houston,0
CUST100144,POL100144,40,Female,Property,62557.46,4,3,0,1333.04,1091.43,Medium,Houston,0
CUST100145,POL100145,40,Male,Auto,50857.32,4,0,0,1022.89,3060.23,Medium,Houston,0
CUST100146,POL100146,40,Male,Health,30368.0,3,1,0,1111.93,2338.19,Low,Dallas,0
CUST100147,POL100147,57,Male,Life,51545.26,4,0,0,1044.05,663.12,Low,Dallas,1
CUST100148,POL100148,21,Male,Property,73686.53,5,1,1,1237.58,1959.43,Medium,Houston,0
CUST100149,POL100149,25,Female,Health,68121.94,6,1,0,1090.72,1252.87,Low,Los Angeles,1
CUST100150,POL100150,41,Male,Auto,43220.53,3,1,1,1118.77,783.98,Medium,Los Angeles,0
CUST100151,POL100151,39,Male,Health,57405.81,8,1,0,1135.45,3313.52,Low,New York,1
CUST100152,POL100152,53,Male,Health,43187.66,1,1,1,1103.59,1953.71,Medium,Chicago,1
CUST100153,POL100153,54,Female,Life,79526.12,8,0,0,1050.62,1807.3,Low,New York,1
CUST100154,POL100154,35,Male,Life,62770.2,2,1,0,1063.21,1084.56,Low,Los Angeles,0
CUST100155,POL100155,48,Female,Life,69106.97,7,1,0,1198.64,2599.17,Low,Chicago,1
CUST100156,POL100156,32,Male,Health,73917.6,5,3,0,1333.67,1700.92,Low,Los Angeles,0
CUST100157,POL100157,18,Female,Auto,68691.64,5,0,0,1019.62,2138.27,Low,Houston,0
CUST100158,POL100158,43,Male,Auto,63988.48,6,2,0,1171.81,2530.85,Medium,Dallas,2
CUST100159,POL100159,24,Male,Property,58584.42,4,2,0,1241.96,2387.95,Low,New York,1
CUST100160,POL100160,18,Male,Auto,61176.44,8,3,0,1349.81,735.66,Medium,Chicago,2
CUST100161,POL100161,28,Male,Auto,56864.65,3,1,0,1154.09,1200.51,Low,Houston,0
CUST100162,POL100162,43,Male,Life,81822.16,2,0,0,965.0,2821.7,Low,New York,1
CUST100163,POL100163,35,Male,Health,34517.26,7,1,0,1032.25,2727.62,Low,New York,0
CUST100164,POL100164,33,Female,Life,98372.99,3,2,0,1227.73,2606.13,Low,Los Angeles,1
CUST100165,POL100165,49,Male,Life,47727.02,4,0,0,1060.17,2745.41,Low,Chicago,1
CUST100166,POL100166,26,Male,Property,57095.11,3,0,0,918.46,1850.24,Low,Chicago,0
CUST100167,POL100167,46,Female,Property,78315.51,6,0,0,1003.96,2042.79,Low,Houston,1
CUST100168,POL100168,34,Female,Life,43205.74,5,0,1,927.07,1119.48,Medium,Los Angeles,1
CUST100169,POL100169,37,Female,Property,67704.0,3,1,0,1130.0,1930.27,Low,Chicago,0
CUST100170,POL100170,50,Male,Auto,71671.64,5,0,0,968.73,2065.0,Low,Dallas,0
CUST100171,POL100171,37,Female,Auto,65325.34,4,0,0,1003.03,2641.2,Medium,Dallas,0
CUST100172,POL100172,33,Female,Auto,59789.71,5,1,1,1053.36,591.37,Medium,Los Angeles,1
CUST100173,POL100173,41,Female,Property,36561.81,3,2,0,1238.41,1916.13,Low,New York,2
CUST100174,POL100174,20,Male,Auto,77471.09,3,2,0,1160.98,3031.53,Medium,Chicago,1
CUST100175,POL100175,41,Male,Life,47586.15,5,1,0,1095.38,1843.66,Low,Houston,1
CUST100176,POL100176,31,Male,Auto,61106.55,7,1,0,1118.68,1082.7,Low,Chicago,0
CUST100177,POL100177,33,Male,Auto,61840.05,8,0,1,1001.67,2735.49,High,Dallas,1
CUST100178,POL100178,50,Female,Health,58832.44,4,0,0,1188.65,3236.17,Low,New York,2
CUST100179,POL100179,33,Female,Property,61699.06,2,0,0,1111.71,2923.25,Medium,New York,0
CUST100180,POL100180,40,Male,Health,72791.61,5,1,1,1072.6,2916.47,Medium,Los Angeles,0
CUST100181,POL100181,35,Female,Life,64469.73,6,0,0,980.07,2679.12,Low,Los Angeles,1
CUST100182,POL100182,46,Female,Health,60087.16,5,2,1,1220.25,2027.88,Medium,Houston,1
CUST100183,POL100183,71,Male,Auto,47919.42,6,3,0,1423.45,2332.23,Medium,Chicago,0
CUST100184,POL100184,55,Female,Life,59656.98,3,2,0,1196.52,989.04,Low,Houston,1
CUST100185,POL100185,18,Male,Health,78257.38,8,1,0,1111.1,912.42,Low,Houston,1
CUST100186,POL100186,54,Female,Property,43179.29,4,1,0,1156.54,2335.03,Low,Houston,0
CUST100187,POL100187,41,Male,Auto,67708.62,5,4,1,1468.27,1249.98,High,New York,0
CUST100188,POL100188,53,Female,Property,58194.28,0,1,0,1174.23,722.27,Low,Chicago,0
CUST100189,POL100189,42,Female,Property,53471.67,6,3,1,1259.21,3416.52,High,Houston,0
CUST100190,POL100190,44,Male,Life,87572.76,4,0,0,1004.15,1157.29,Low,New York,0
CUST100191,POL100191,49,Male,Auto,74254.61,8,1,0,1165.79,661.74,Low,Los Angeles,1
CUST100192,POL100192,31,Female,Auto,60540.95,5,0,0,1074.58,3126.31,Medium,Chicago,1
CUST100193,POL100193,46,Male,Life,69799.25,10,1,0,1151.7,3361.7,Low,Los Angeles,0
CUST100194,POL100194,59,Female,Life,79723.72,8,0,0,1067.7,801.63,Low,Houston,1
CUST100195,POL100195,18,Male,Health,61848.07,6,2,0,1164.12,1827.98,Low,Dallas,0
CUST100196,POL100196,34,Female,Auto,49613.69,2,1,0,1112.36,1961.91,Low,Los Angeles,1
CUST100197,POL100197,30,Male,Health,67202.19,10,0,1,975.46,1973.18,Medium,Dallas,0
CUST100198,POL100198,41,Male,Auto,27566.71,4,2,0,1286.17,1739.45,Medium,Los Angeles,2
CUST100199,POL100199,20,Other,Life,71580.32,8,1,1,1083.19,1248.28,Medium,New York,0
CUST100200,POL100200,59,Male,Property,73452.59,4,1,0,1079.17,1658.92,Low,Los Angeles,0
CUST100201,POL100201,40,Male,Life,67678.86,4,2,0,1232.61,3434.18,Low,Houston,1
CUST100202,POL100202,40,Female,Property,48828.24,1,1,0,1083.85,789.47,Low,Chicago,1
CUST100203,POL100203,48,Female,Health,74541.86,5,1,0,1070.96,2502.99,Low,Chicago,0
CUST100204,POL100204,46,Female,Property,67330.38,1,1,0,1084.08,2333.22,Low,Houston,0
CUST100205,POL100205,57,Male,Auto,43414.43,4,2,0,1308.99,1892.57,Low,Houston,0
CUST100206,POL100206,19,Male,Property,47911.95,6,1,1,1199.12,1881.2,Medium,Houston,0
CUST100207,POL100207,45,Male,Health,60082.39,4,2,0,1155.38,633.47,Low,Chicago,1
CUST100208,POL100208,18,Female,Health,54675.19,4,4,1,1425.13,1935.26,Medium,Dallas,1
CUST100209,POL100209,26,Male,Auto,62749.5,2,3,0,1261.28,787.2,Medium,Houston,0
CUST100210,POL100210,18,Female,Life,71218.65,2,1,0,1122.27,1781.34,Low,Houston,1
CUST100211,POL100211,63,Female,Auto,53281.28,2,0,0,952.87,2806.32,Medium,Chicago,2
CUST100212,POL100212,43,Female,Life,86536.75,4,1,1,1137.21,3232.27,Medium,Los Angeles,2
CUST100213,POL100213,25,Female,Health,76890.75,4,1,0,1148.09,1622.45,Low,Los Angeles,1
CUST100214,POL100214,72,Female,Health,55954.22,7,3,0,1313.5,3662.69,Medium,Dallas,1
CUST100215,POL100215,37,Male,Life,68903.35,0,2,0,1286.99,3007.75,Low,Dallas,0
CUST100216,POL100216,28,Male,Health,39305.73,3,0,1,1057.72,537.51,Medium,Houston,0
CUST100217,POL100217,50,Male,Property,70876.44,6,1,0,1164.21,2978.15,Medium,Houston,1
CUST100218,POL100218,30,Female,Life,63177.26,3,1,0,1113.66,1536.16,Low,Dallas,2
CUST100219,POL100219,38,Female,Auto,31595.78,5,0,0,1052.59,689.33,Low,Chicago,0
CUST100220,POL100220,20,Male,Life,48559.13,3,3,0,1248.44,2178.3,Low,Los Angeles,2
CUST100221,POL100221,25,Male,Property,35206.22,7,1,1,944.54,1872.76,Medium,New York,1
CUST100222,POL100222,42,Female,Life,52625.46,6,3,0,1256.7,3060.38,Medium,New York,0
CUST100223,POL100223,18,Male,Property,65028.58,3,0,0,977.41,1164.43,Low,New York,1
CUST100224,POL100224,29,Male,Property,76883.82,4,0,1,975.06,1267.79,Medium,Los Angeles,0
CUST100225,POL100225,42,Female,Auto,56606.09,6,1,0,984.3,2035.34,Low,Dallas,1
CUST100226,POL100226,51,Male,Life,78541.96,5,0,0,1035.62,2486.31,Low,Chicago,0
CUST100227,POL100227,41,Female,Health,60007.92,6,1,0,1041.81,610.71,Low,New York,1
CUST100228,POL100228,54,Male,Auto,55198.62,4,2,0,1256.6,2543.41,Medium,Dallas,0
CUST100229,POL100229,49,Male,Auto,79118.88,6,1,0,1073.86,3020.27,Medium,Dallas,0
CUST100230,POL100230,33,Male,Property,57558.11,5,0,1,965.56,478.72,Medium,Houston,0
CUST100231,POL100231,26,Female,Property,56571.0,3,1,0,1108.69,1842.07,Low,Dallas,2
CUST100232,POL100232,64,Female,Health,63244.75,7,3,0,1283.82,3076.76,Medium,New York,0
CUST100233,POL100233,42,Male,Auto,61527.84,8,1,0,1176.41,3219.99,Medium,Dallas,1
CUST100234,POL100234,48,Male,Auto,70154.5,0,1,0,1071.38,1296.18,Low,Houston,0
CUST100235,POL100235,38,Male,Property,60313.3,5,1,0,1081.95,894.28,Low,Chicago,1
CUST100236,POL100236,44,Male,Property,81194.92,5,1,0,1101.27,1306.62,Low,New York,0
CUST100237,POL100237,37,Female,Health,74810.02,4,1,0,1057.59,3037.7,Low,Houston,1
CUST100238,POL100238,40,Female,Health,35605.21,3,0,1,1031.46,1512.92,Medium,Dallas,0
CUST100239,POL100239,58,Female,Life,56988.76,2,0,0,1052.04,1184.01,Low,Los Angeles,2
CUST100240,POL100240,40,Female,Auto,64977.66,4,1,0,1029.43,3123.25,Medium,Chicago,2
CUST100241,POL100241,33,Female,Property,66388.31,5,1,0,1062.82,2326.34,Low,New York,1
CUST100242,POL100242,42,Female,Life,41953.01,4,0,0,1100.75,1437.04,Low,Los Angeles,0
CUST100243,POL100243,47,Male,Health,67043.58,6,0,0,1022.49,2150.94,Low,Chicago,0
CUST100244,POL100244,30,Female,Life,36504.75,2,4,0,1301.57,1322.97,Low,Los Angeles,1
CUST100245,POL100245,50,Male,Life,49348.78,3,1,0,1102.1,3278.58,Low,Houston,1
CUST100246,POL100246,63,Female,Life,36536.38,8,0,0,1036.88,3036.21,Low,Chicago,0
CUST100247,POL100247,35,Female,Life,38232.36,4,1,0,1097.04,760.18,Low,Chicago,0
CUST100248,POL100248,40,Male,Health,70644.62,7,1,0,1099.35,2541.94,Low,Los Angeles,1
CUST100249,POL100249,45,Male,Health,33321.19,5,1,0,1161.24,644.67,Low,Houston,2
CUST100250,POL100250,31,Male,Property,44652.07,2,0,0,977.47,2948.25,Medium,Los Angeles,1
CUST100251,POL100251,26,Female,Health,56224.04,7,1,0,1087.16,1587.61,Low,Dallas,2
CUST100252,POL100252,32,Female,Life,81335.55,8,0,0,1065.73,2480.91,Low,Houston,1
CUST100253,POL100253,33,Male,Property,69756.75,1,0,0,996.98,1801.5,Low,Houston,1
CUST100254,POL100254,47,Female,Life,57252.05,6,3,0,1382.24,3822.67,Medium,Chicago,0
CUST100255,POL100255,32,Male,Health,40513.25,2,4,1,1246.7,1127.25,Medium,Houston,1
CUST100256,POL100256,31,Male,Property,81666.31,4,0,0,1038.59,2707.06,Medium,Houston,0
CUST100257,POL100257,40,Female,Life,87288.35,5,1,1,999.41,874.26,Medium,New York,1
CUST100258,POL100258,34,Female,Life,47058.36,6,2,0,1193.15,2310.05,Low,Los Angeles,0
CUST100259,POL100259,32,Female,Property,44559.43,2,1,0,1077.77,2630.58,Medium,Chicago,0
CUST100260,POL100260,61,Male,Property,50138.52,4,2,0,1220.45,2493.72,Low,New York,1
CUST100261,POL100261,24,Male,Life,55586.03,3,0,0,944.79,2775.82,Low,Chicago,0
CUST100262,POL100262,58,Female,Auto,50799.59,3,1,0,1225.05,1132.92,Low,Dallas,0
CUST100263,POL100263,38,Female,Auto,63109.01,5,1,0,1114.33,821.2,Low,Dallas,1
CUST100264,POL100264,57,Male,Life,78716.35,7,1,0,1185.7,2339.08,Low,Houston,1
CUST100265,POL100265,43,Male,Health,75709.77,7,1,0,1103.16,2933.33,Low,Houston,0
CUST100266,POL100266,35,Female,Property,66306.79,3,2,0,1208.92,2085.09,Low,Los Angeles,1
CUST100267,POL100267,56,Female,Health,72112.96,3,0,0,1046.46,575.07,Low,Los Angeles,0
CUST100268,POL100268,31,Female,Property,46942.24,8,2,1,1197.22,3185.92,High,Houston,2
CUST100269,POL100269,45,Female,Auto,38993.71,5,3,0,1367.69,2654.14,High,Houston,1
CUST100270,POL100270,30,Male,Auto,39284.33,5,2,0,1258.83,2619.4,Medium,Chicago,1
CUST100271,POL100271,18,Male,Property,51756.64,6,1,0,1070.72,1850.3,Low,Dallas,2
CUST100272,POL100272,43,Female,Health,54358.01,8,0,0,969.49,908.19,Low,Houston,1
CUST100273,POL100273,44,Male,Life,49584.63,5,0,0,1027.09,1731.96,Low,Dallas,0
CUST100274,POL100274,52,Female,Auto,52997.95,3,2,0,1287.64,2245.41,Low,Houston,1
