customer_id,policy_id,policy_type,vehicle_or_property_age,claim_history,fraudulent_claim,premium_amount
CUST109197,POL200148,Health,5,0,0,1022.0
CUST109197,POL200149,Property,4,3,0,1330.0
CUST108830,POL200150,Health,6,2,0,1222.5
CUST108830,POL200151,Auto,5,0,0,1018.0
CUST104304,POL200152,Auto,5,0,0,1025.5
CUST109577,POL200153,Health,0,1,0,1123.5
CUST109577,POL200154,Auto,4,1,0,1119.0
CUST107019,POL200155,Life,2,0,0,1024.0
CUST107019,POL200156,Life,3,3,0,1319.0
CUST109560,POL200157,Health,6,2,1,1216.0
CUST109560,POL200158,Life,5,1,0,1126.5
CUST106543,POL200159,Auto,3,3,0,1313.5
CUST105930,POL200160,Property,4,0,1,1016.0
CUST105930,POL200161,Property,4,2,1,1220.5
CUST103593,POL200162,Health,7,1,0,1129.0
CUST103593,POL200163,Life,4,1,0,1128.5
CUST102266,POL200164,Property,5,1,1,1113.5
CUST102266,POL200165,Life,4,1,1,1118.5
CUST108348,POL200166,Health,2,0,0,1015.5
CUST108348,POL200167,Auto,7,2,0,1229.5
CUST108085,POL200168,Health,4,0,0,1019.0
CUST101489,POL200169,Property,3,0,0,1015.5
CUST100771,POL200170,Property,5,1,0,1114.5
CUST101796,POL200171,Health,5,1,0,1127.0
CUST102504,POL200172,Health,4,0,0,1015.0
CUST102504,POL200173,Health,5,3,0,1314.0
CUST102621,POL200174,Life,2,2,0,1230.0
CUST106916,POL200175,Auto,3,1,0,1120.5
CUST109771,POL200176,Property,9,0,1,1026.5
CUST109771,POL200177,Property,5,4,0,1426.0
CUST101040,POL200178,Health,8,2,1,1224.5
CUST101040,POL200179,Health,7,1,1,1129.5
CUST106304,POL200180,Health,10,1,0,1113.5
CUST106252,POL200181,Life,6,1,0,1128.5
CUST109763,POL200182,Life,6,2,0,1222.0
CUST107668,POL200183,Life,0,1,0,1126.5
CUST108669,POL200184,Property,4,1,1,1113.0
CUST108669,POL200185,Property,4,1,0,1117.5
CUST104119,POL200186,Auto,4,0,1,1025.0
CUST109064,POL200187,Auto,2,1,0,1122.0
CUST109064,POL200188,Life,3,1,0,1112.5
CUST100188,POL200189,Health,6,0,0,1013.5
CUST101876,POL200190,Property,3,2,0,1229.5
CUST108797,POL200191,Life,5,1,0,1119.0
CUST104371,POL200192,Auto,5,2,0,1225.5
CUST104371,POL200193,Auto,4,1,0,1117.5
CUST105573,POL200194,Auto,6,0,0,1020.5
CUST101827,POL200195,Health,7,0,0,1018.0
CUST104808,POL200196,Property,3,1,0,1130.0
CUST107123,POL200197,Life,5,0,0,1014.5
CUST102591,POL200198,Health,5,1,0,1118.5
CUST102591,POL200199,Property,5,0,1,1023.0
CUST107433,POL200200,Auto,5,3,0,1320.0
CUST107433,POL200201,Health,2,1,0,1121.5
CUST100053,POL200202,Auto,2,1,0,1122.5
CUST104315,POL200203,Property,8,2,1,1223.0
CUST104315,POL200204,Life,6,2,0,1217.0
CUST108201,POL200205,Life,4,2,0,1226.0
CUST108201,POL200206,Auto,2,0,0,1012.5
CUST102927,POL200207,Auto,5,1,0,1119.5
CUST102927,POL200208,Property,5,2,0,1221.0
CUST108317,POL200209,Auto,1,0,1,1023.0
CUST108317,POL200210,Property,5,2,1,1227.0
CUST101743,POL200211,Life,6,1,0,1122.0
CUST101743,POL200212,Property,4,1,0,1130.0
CUST104889,POL200213,Auto,5,0,0,1015.0
CUST108317,POL200214,Auto,3,1,0,1129.5
CUST108317,POL200215,Auto,7,2,0,1220.5
CUST109977,POL200216,Health,6,0,0,1013.0
CUST103258,POL200217,Property,1,1,0,1119.0
CUST102504,POL200218,Life,4,1,0,1129.5
CUST106126,POL200219,Auto,8,3,0,1324.0
CUST106126,POL200220,Property,3,1,1,1119.5
CUST102646,POL200221,Auto,4,1,0,1127.0
CUST102646,POL200222,Health,5,4,0,1425.0
CUST108837,POL200223,Health,6,0,1,1020.0
CUST108837,POL200224,Auto,5,0,0,1028.5
CUST108689,POL200225,Property,5,1,0,1117.5
CUST100009,POL200226,Auto,5,5,1,1527.5
CUST109813,POL200227,Health,4,0,0,1019.5
CUST109813,POL200228,Property,4,0,0,1019.5
CUST105310,POL200229,Life,4,1,0,1124.0
CUST108005,POL200230,Health,5,1,0,1119.0
CUST100319,POL200231,Property,1,2,0,1227.5
CUST100319,POL200232,Property,5,3,0,1313.5
CUST101832,POL200233,Life,7,1,0,1115.5
CUST105947,POL200234,Life,4,2,0,1229.5
CUST105947,POL200235,Auto,7,1,0,1124.5
CUST105038,POL200236,Life,1,1,1,1114.5
CUST105038,POL200237,Life,2,1,0,1124.5
CUST103923,POL200238,Property,9,0,1,1023.5
CUST100949,POL200239,Property,3,0,1,1027.5
CUST100949,POL200240,Health,7,1,0,1128.5
CUST103946,POL200241,Property,8,0,0,1017.5
CUST109295,POL200242,Health,3,0,1,1028.5
CUST101290,POL200243,Auto,7,3,0,1317.0
CUST101290,POL200244,Auto,6,0,1,1017.5
CUST101403,POL200245,Health,7,0,0,1019.5
CUST101403,POL200246,Property,9,1,1,1123.0
CUST107962,POL200247,Property,6,0,0,1027.5
CUST101133,POL200248,Auto,5,2,0,1217.5
CUST101133,POL200249,Property,5,1,0,1113.0
CUST108727,POL200250,Health,3,0,0,1016.5
CUST102060,POL200251,Auto,4,0,1,1028.5
CUST102103,POL200252,Auto,0,2,0,1214.0
CUST107787,POL200253,Life,3,1,1,1118.0
CUST109007,POL200254,Health,6,5,0,1521.5
CUST109007,POL200255,Health,7,1,1,1119.0
CUST102705,POL200256,Property,4,1,0,1127.5
CUST102705,POL200257,Auto,5,3,0,1319.5
CUST104342,POL200258,Auto,5,1,0,1118.0
CUST104342,POL200259,Life,5,2,0,1217.5
CUST108645,POL200260,Property,6,1,1,1114.5
CUST108645,POL200261,Auto,5,0,1,1024.5
CUST109938,POL200262,Auto,4,0,0,1015.5
CUST109938,POL200263,Health,5,0,0,1018.5
CUST106932,POL200264,Auto,7,0,1,1015.5
CUST106932,POL200265,Auto,1,3,0,1327.5
CUST103470,POL200266,Health,4,2,0,1215.0
CUST108835,POL200267,Auto,0,2,0,1229.5
CUST108835,POL200268,Health,6,0,0,1026.0
CUST103295,POL200269,Life,6,2,1,1213.5
CUST103295,POL200270,Property,4,2,0,1219.5
CUST105107,POL200271,Property,2,0,1,1023.5
CUST105107,POL200272,Health,6,0,0,1026.0
CUST106537,POL200273,Life,4,0,0,1027.5
CUST106118,POL200274,Health,6,2,1,1221.5
CUST107177,POL200275,Life,4,4,0,1418.5
CUST107177,POL200276,Health,7,1,0,1112.5
CUST108479,POL200277,Health,5,1,0,1124.5
CUST107397,POL200278,Life,3,1,0,1125.5
CUST101982,POL200279,Health,4,1,0,1117.0
CUST101982,POL200280,Property,4,1,0,1120.5
CUST104061,POL200281,Property,3,3,0,1324.0
CUST104061,POL200282,Life,4,1,0,1125.0
CUST103681,POL200283,Property,4,2,0,1230.0
CUST101049,POL200284,Auto,5,0,0,1024.0
CUST101049,POL200285,Property,0,0,0,1020.5
CUST105539,POL200286,Life,2,3,0,1325.0
CUST105539,POL200287,Auto,4,0,0,1016.0
CUST100344,POL200288,Property,8,3,1,1317.5
CUST109638,POL200289,Auto,5,0,1,1028.5
CUST109075,POL200290,Life,7,1,0,1130.0
CUST109075,POL200291,Health,5,1,0,1117.5
CUST103770,POL200292,Health,3,1,1,1115.0
CUST103770,POL200293,Auto,4,1,0,1127.5
CUST109641,POL200294,Health,4,2,1,1214.5
CUST109641,POL200295,Life,9,2,0,1219.5
CUST103608,POL200296,Health,4,3,0,1313.5
CUST103608,POL200297,Property,1,2,1,1225.0
CUST100117,POL200298,Health,1,3,0,1318.0
CUST100117,POL200299,Property,9,0,0,1026.5
CUST101163,POL200300,Auto,7,1,0,1129.0
CUST100964,POL200301,Auto,7,1,0,1113.5
CUST100964,POL200302,Auto,4,0,1,1017.5
CUST103750,POL200303,Life,7,1,0,1120.0
CUST101104,POL200304,Auto,2,2,0,1215.0
CUST100514,POL200305,Property,5,1,0,1123.5
CUST100514,POL200306,Property,4,0,0,1025.0
CUST105413,POL200307,Health,5,0,0,1014.5
CUST101160,POL200308,Life,6,1,0,1130.0
CUST108423,POL200309,Life,4,1,0,1121.0
CUST108423,POL200310,Auto,4,4,0,1418.5
CUST103899,POL200311,Property,9,0,0,1012.5
CUST103899,POL200312,Life,6,0,0,1018.0
CUST104562,POL200313,Health,5,2,0,1230.0
CUST104562,POL200314,Health,6,1,0,1128.5
CUST107953,POL200315,Life,5,1,0,1116.0
CUST107953,POL200316,Life,7,0,0,1029.5
CUST103510,POL200317,Property,2,1,0,1124.5
CUST103510,POL200318,Property,7,0,0,1020.0
CUST108834,POL200319,Property,4,3,0,1327.0
CUST108834,POL200320,Health,5,0,1,1027.5
CUST102167,POL200321,Life,7,2,0,1214.5
CUST109355,POL200322,Auto,8,0,0,1019.5
CUST109355,POL200323,Life,2,1,1,1125.5
CUST109440,POL200324,Health,7,3,0,1320.5
CUST109440,POL200325,Auto,4,1,1,1121.5
CUST107744,POL200326,Property,6,2,0,1223.0
CUST103981,POL200327,Auto,6,0,0,1027.5
CUST107749,POL200328,Life,2,1,0,1119.0
CUST107749,POL200329,Life,1,0,0,1018.0
CUST106669,POL200330,Property,8,1,0,1118.5
CUST103119,POL200331,Auto,7,2,0,1220.5
CUST101545,POL200332,Auto,2,1,0,1118.5
CUST101588,POL200333,Life,1,3,1,1317.0
CUST107062,POL200334,Health,4,1,1,1115.0
CUST105804,POL200335,Health,5,1,0,1129.5
CUST105804,POL200336,Health,3,1,0,1127.5
CUST106939,POL200337,Life,3,1,0,1128.0
CUST106939,POL200338,Life,3,0,0,1028.0
CUST106735,POL200339,Life,1,1,0,1125.0
CUST107651,POL200340,Auto,3,1,1,1114.0
CUST100887,POL200341,Property,5,2,0,1229.5
CUST100887,POL200342,Health,5,3,0,1328.5
CUST101612,POL200343,Property,5,1,1,1118.0
CUST101612,POL200344,Property,4,0,0,1016.0
CUST100993,POL200345,Life,6,0,1,1012.5
CUST100993,POL200346,Health,8,0,0,1019.0
CUST106596,POL200347,Health,3,1,0,1122.5
CUST106596,POL200348,Life,6,0,0,1020.5
CUST105559,POL200349,Life,5,0,0,1020.0
CUST101790,POL200350,Property,6,0,0,1023.0
CUST101790,POL200351,Life,9,1,1,1118.0
CUST104073,POL200352,Property,5,1,0,1119.0
CUST104073,POL200353,Property,3,2,0,1224.0
CUST103139,POL200354,Property,6,0,0,1021.0
CUST103139,POL200355,Property,8,0,1,1018.0
CUST103116,POL200356,Auto,3,0,0,1015.5
CUST108786,POL200357,Auto,2,0,0,1030.0
CUST108786,POL200358,Property,5,3,0,1324.5
CUST107350,POL200359,Auto,1,3,0,1317.0
CUST102296,POL200360,Health,3,2,0,1218.0
CUST102296,POL200361,Property,4,0,0,1028.0
CUST106912,POL200362,Life,4,1,0,1128.0
CUST103006,POL200363,Life,3,2,0,1230.0
CUST103006,POL200364,Health,5,2,0,1225.0
CUST104563,POL200365,Auto,6,1,1,1114.0
CUST107579,POL200366,Life,6,0,0,1027.5
CUST104092,POL200367,Property,6,0,0,1023.0
CUST101235,POL200368,Life,1,1,0,1124.0
CUST101235,POL200369,Life,6,2,1,1223.5
CUST107260,POL200370,Property,4,1,1,1116.0
CUST109016,POL200371,Auto,5,2,1,1229.5
CUST109016,POL200372,Auto,3,0,0,1021.5
CUST101604,POL200373,Life,6,0,0,1028.5
CUST101604,POL200374,Property,5,2,1,1226.5
CUST100828,POL200375,Property,4,2,0,1221.5
CUST108856,POL200376,Auto,5,1,0,1117.5
CUST108856,POL200377,Life,2,0,0,1025.5
CUST100241,POL200378,Health,6,1,0,1115.0
CUST100241,POL200379,Auto,5,1,0,1123.0
CUST101528,POL200380,Life,6,1,0,1122.5
CUST103872,POL200381,Life,2,2,1,1225.0
CUST103872,POL200382,Life,5,1,0,1126.5
CUST102724,POL200383,Property,4,0,0,1025.5
CUST102724,POL200384,Auto,5,0,0,1018.0
CUST106658,POL200385,Auto,3,3,0,1320.0
CUST107956,POL200386,Health,0,0,1,1019.0
CUST107956,POL200387,Auto,6,1,0,1125.0
CUST107886,POL200388,Health,7,2,0,1214.5
CUST103502,POL200389,Health,4,1,0,1113.0
CUST103502,POL200390,Property,3,1,0,1129.0
CUST106570,POL200391,Health,5,0,1,1020.5
CUST100960,POL200392,Health,3,1,1,1124.5
CUST102697,POL200393,Auto,4,0,0,1020.0
CUST102697,POL200394,Life,4,2,0,1226.5
CUST106209,POL200395,Auto,3,4,0,1429.0
CUST100035,POL200396,Health,3,0,1,1013.5
CUST106396,POL200397,Life,8,0,1,1027.5
CUST106396,POL200398,Property,9,3,0,1329.5
CUST104345,POL200399,Property,3,1,0,1116.5
CUST104345,POL200400,Auto,9,0,0,1027.0
CUST107454,POL200401,Life,5,1,0,1123.5
CUST107454,POL200402,Property,3,0,0,1029.5
CUST104673,POL200403,Health,7,2,0,1226.5
CUST106930,POL200404,Life,5,1,0,1125.5
CUST106930,POL200405,Life,3,0,1,1017.0
CUST109105,POL200406,Health,6,1,0,1112.5
CUST109105,POL200407,Auto,3,0,0,1023.5
CUST107973,POL200408,Property,6,1,1,1129.5
CUST107973,POL200409,Health,7,1,1,1128.0
CUST102536,POL200410,Life,7,3,0,1312.5
CUST102536,POL200411,Property,8,1,0,1121.5
CUST103111,POL200412,Health,1,2,0,1230.0
CUST104861,POL200413,Auto,1,0,1,1025.5
CUST104861,POL200414,Property,2,4,0,1425.0
CUST103566,POL200415,Auto,6,2,0,1224.5
CUST100958,POL200416,Auto,2,3,0,1320.5
CUST100958,POL200417,Health,6,0,0,1026.0
CUST109489,POL200418,Life,3,3,0,1321.5
CUST108883,POL200419,Property,6,1,0,1118.5
CUST108883,POL200420,Health,6,2,0,1218.0
CUST100998,POL200421,Life,5,0,0,1016.0
CUST105138,POL200422,Property,4,1,0,1121.0
CUST105138,POL200423,Property,3,2,0,1218.5
CUST100936,POL200424,Health,5,0,0,1017.0
CUST100936,POL200425,Health,7,0,0,1029.5
CUST100821,POL200426,Auto,2,0,0,1015.5
CUST109571,POL200427,Life,2,3,0,1316.5
CUST109571,POL200428,Property,5,1,0,1112.5
CUST107811,POL200429,Health,6,0,0,1017.0
CUST108238,POL200430,Property,7,0,0,1019.0
CUST108701,POL200431,Property,3,2,0,1222.0
CUST108701,POL200432,Property,8,3,1,1324.0
CUST102579,POL200433,Health,8,1,0,1123.0
CUST102579,POL200434,Health,7,2,0,1217.0
CUST100931,POL200435,Life,3,0,0,1025.0
CUST108320,POL200436,Property,3,0,0,1018.0
CUST101312,POL200437,Life,4,4,0,1424.5
CUST103044,POL200438,Health,4,2,0,1220.0
CUST101122,POL200439,Property,5,1,0,1120.0
CUST101122,POL200440,Health,5,0,1,1018.5
CUST109749,POL200441,Health,1,0,0,1029.0
CUST109749,POL200442,Auto,6,1,0,1127.5
CUST101113,POL200443,Life,3,0,0,1022.5
CUST101113,POL200444,Auto,0,2,0,1213.5
CUST103853,POL200445,Life,4,0,0,1027.5
CUST106615,POL200446,Auto,5,0,0,1024.0
CUST106615,POL200447,Health,5,0,0,1019.0
CUST101964,POL200448,Auto,5,0,0,1026.0
CUST109333,POL200449,Health,4,2,0,1217.5
CUST109333,POL200450,Life,3,0,1,1016.0
CUST104033,POL200451,Auto,4,0,0,1012.5
CUST104033,POL200452,Health,1,1,0,1127.5
CUST109485,POL200453,Life,2,3,0,1315.0
CUST109740,POL200454,Auto,6,1,0,1128.0
CUST100651,POL200455,Life,3,0,0,1014.0
CUST101343,POL200456,Life,5,1,0,1117.0
CUST106868,POL200457,Auto,4,0,0,1028.0
CUST109562,POL200458,Life,6,1,0,1130.0
CUST109260,POL200459,Property,4,2,0,1218.5
CUST109260,POL200460,Health,3,1,0,1124.5
CUST108565,POL200461,Auto,5,3,0,1320.5
CUST108565,POL200462,Health,6,0,0,1028.0
CUST105183,POL200463,Life,9,2,0,1229.5
CUST105183,POL200464,Property,3,0,0,1018.5
CUST104272,POL200465,Life,3,2,1,1222.5
CUST103346,POL200466,Life,4,2,0,1230.0
CUST103346,POL200467,Auto,1,2,0,1214.5
CUST105147,POL200468,Property,5,2,1,1221.5
CUST103910,POL200469,Life,3,0,0,1027.0
CUST103910,POL200470,Health,6,2,0,1228.5
CUST104351,POL200471,Auto,3,2,0,1213.0
CUST104351,POL200472,Life,3,2,1,1220.0
CUST106484,POL200473,Health,7,0,0,1029.5
CUST106484,POL200474,Property,3,1,0,1118.5
CUST102144,POL200475,Auto,5,4,1,1421.5
CUST102144,POL200476,Life,7,0,1,1025.5
CUST104915,POL200477,Health,7,1,0,1115.5
CUST104915,POL200478,Health,7,2,0,1213.5
CUST107491,POL200479,Auto,10,0,1,1013.5
CUST105180,POL200480,Health,5,1,0,1128.0
CUST101188,POL200481,Health,7,2,0,1213.5
CUST100152,POL200482,Property,4,0,0,1029.0
CUST100152,POL200483,Life,6,1,0,1114.0
CUST107508,POL200484,Auto,4,2,0,1214.5
CUST107508,POL200485,Health,3,1,0,1119.0
CUST109224,POL200486,Health,5,0,0,1027.0
CUST109224,POL200487,Health,5,1,0,1124.0
CUST101638,POL200488,Life,5,0,1,1014.0
CUST101638,POL200489,Life,4,0,0,1029.0
CUST101200,POL200490,Health,5,1,0,1122.0
CUST108808,POL200491,Auto,8,1,1,1129.0
CUST103492,POL200492,Health,5,2,1,1219.5
CUST108288,POL200493,Auto,5,2,0,1218.5
CUST108288,POL200494,Auto,7,1,1,1118.0
CUST104345,POL200495,Health,4,0,0,1023.5
CUST104345,POL200496,Property,4,1,1,1126.0
CUST102170,POL200497,Auto,5,2,1,1218.0
CUST105718,POL200498,Life,3,1,1,1117.5
CUST105718,POL200499,Property,7,0,0,1023.5
CUST101127,POL200500,Life,3,0,0,1024.0
CUST101127,POL200501,Property,5,1,0,1126.0
CUST104002,POL200502,Auto,2,1,1,1129.5
CUST104002,POL200503,Auto,2,4,0,1424.5
CUST106054,POL200504,Life,6,0,0,1026.5
CUST106054,POL200505,Property,3,3,1,1325.0
CUST104669,POL200506,Health,3,0,1,1021.5
CUST102584,POL200507,Auto,5,3,0,1322.0
CUST107179,POL200508,Life,1,2,1,1219.5
CUST108900,POL200509,Life,3,1,0,1113.0
CUST104956,POL200510,Auto,8,0,0,1015.5
CUST104956,POL200511,Health,6,0,0,1027.0
CUST108666,POL200512,Auto,9,3,0,1316.5
CUST108666,POL200513,Life,4,0,0,1024.0
CUST100128,POL200514,Auto,4,0,0,1020.5
CUST109086,POL200515,Health,0,0,1,1025.0
CUST109086,POL200516,Auto,4,0,0,1014.5
CUST104905,POL200517,Property,0,0,0,1018.0
CUST104905,POL200518,Property,4,0,0,1015.5
CUST101697,POL200519,Health,5,0,0,1024.5
CUST101697,POL200520,Health,7,1,0,1114.0
CUST102200,POL200521,Life,3,2,0,1226.0
CUST102200,POL200522,Property,4,2,0,1216.0
CUST104333,POL200523,Health,3,1,0,1124.5
CUST101891,POL200524,Life,2,2,0,1229.0
CUST101753,POL200525,Life,1,1,1,1129.5
CUST109064,POL200526,Life,4,0,0,1028.5
CUST102546,POL200527,Auto,5,2,0,1214.0
CUST104462,POL200528,Property,0,0,0,1028.5
CUST104462,POL200529,Health,3,1,0,1119.5
CUST104616,POL200530,Life,6,2,0,1225.0
CUST104616,POL200531,Auto,4,0,0,1016.5
CUST109909,POL200532,Health,5,2,1,1227.5
CUST109909,POL200533,Health,6,0,0,1030.0
CUST103450,POL200534,Life,1,1,0,1115.0
CUST103450,POL200535,Property,3,0,0,1028.5
CUST105617,POL200536,Auto,7,3,0,1316.5
CUST105617,POL200537,Property,3,0,0,1030.0
CUST103335,POL200538,Property,4,4,0,1425.0
CUST104325,POL200539,Auto,7,1,0,1120.0
CUST108280,POL200540,Life,7,1,0,1126.0
CUST108004,POL200541,Health,7,0,1,1016.0
CUST108004,POL200542,Property,3,0,0,1026.0
CUST104114,POL200543,Life,4,1,0,1118.5
CUST104114,POL200544,Life,1,2,0,1223.5
CUST100832,POL200545,Life,3,3,0,1317.5
CUST101512,POL200546,Property,5,2,0,1217.0
CUST101512,POL200547,Property,4,1,0,1113.5
CUST106939,POL200548,Auto,4,0,1,1024.0
CUST104533,POL200549,Health,8,0,1,1016.0
